"player","ally_code","name","base_id","alignment","role","gear_level","power","stars","level","Affiliation1","Affiliation2","Affiliation3","Affiliation4","zeta_1","zeta_2","zeta_3"
"Code",853781739,"Aayla Secura","AAYLASECURA","Light Side","Support",11,16377,7,85,"Galactic Republic","Jedi",NA,NA,NA,NA,NA
"btrie",962472279,"Aayla Secura","AAYLASECURA","Light Side","Support",8,11203,7,76,"Galactic Republic","Jedi",NA,NA,NA,NA,NA
"Drewish",266161177,"Aayla Secura","AAYLASECURA","Light Side","Support",6,5232,6,54,"Galactic Republic","Jedi",NA,NA,NA,NA,NA
"D'Artagnan",244782846,"Aayla Secura","AAYLASECURA","Light Side","Support",6,5983,4,75,"Galactic Republic","Jedi",NA,NA,NA,NA,NA
"Peps",912783323,"Aayla Secura","AAYLASECURA","Light Side","Support",8,12025,7,72,"Galactic Republic","Jedi",NA,NA,NA,NA,NA
"YimYames",663748144,"Aayla Secura","AAYLASECURA","Light Side","Support",1,1014,4,1,"Galactic Republic","Jedi",NA,NA,NA,NA,NA
"Kelsier",866766384,"Aayla Secura","AAYLASECURA","Light Side","Support",8,13188,7,85,"Galactic Republic","Jedi",NA,NA,NA,NA,NA
"Oberon",298518446,"Aayla Secura","AAYLASECURA","Light Side","Support",1,1014,4,1,"Galactic Republic","Jedi",NA,NA,NA,NA,NA
"boogstien",569715162,"Aayla Secura","AAYLASECURA","Light Side","Support",1,676,3,1,"Galactic Republic","Jedi",NA,NA,NA,NA,NA
"doctorx",284629595,"Aayla Secura","AAYLASECURA","Light Side","Support",8,12874,7,82,"Galactic Republic","Jedi",NA,NA,NA,NA,NA
"Tez",613277982,"Aayla Secura","AAYLASECURA","Light Side","Support",3,1879,4,30,"Galactic Republic","Jedi",NA,NA,NA,NA,NA
"Mhann Uhdea",453922222,"Aayla Secura","AAYLASECURA","Light Side","Support",1,6630,7,85,"Galactic Republic","Jedi",NA,NA,NA,NA,NA
"Kems",588232271,"Aayla Secura","AAYLASECURA","Light Side","Support",6,2938,3,46,"Galactic Republic","Jedi",NA,NA,NA,NA,NA
"NostraDazmous",126741569,"Aayla Secura","AAYLASECURA","Light Side","Support",6,3159,4,51,"Galactic Republic","Jedi",NA,NA,NA,NA,NA
"kallah",742876214,"Aayla Secura","AAYLASECURA","Light Side","Support",3,1002,3,12,"Galactic Republic","Jedi",NA,NA,NA,NA,NA
"DarthHelmet",627172986,"Aayla Secura","AAYLASECURA","Light Side","Support",10,14863,7,85,"Galactic Republic","Jedi",NA,NA,NA,NA,NA
"Martyvu",414326312,"Aayla Secura","AAYLASECURA","Light Side","Support",8,12819,7,85,"Galactic Republic","Jedi",NA,NA,NA,NA,NA
"Lexicon",755564748,"Aayla Secura","AAYLASECURA","Light Side","Support",11,15772,7,85,"Galactic Republic","Jedi",NA,NA,NA,NA,NA
"Zordo",347361694,"Aayla Secura","AAYLASECURA","Light Side","Support",1,676,3,1,"Galactic Republic","Jedi",NA,NA,NA,NA,NA
"Cyrus Sophus",397523631,"Aayla Secura","AAYLASECURA","Light Side","Support",8,13375,7,85,"Galactic Republic","Jedi",NA,NA,NA,NA,NA
"Rufuska",517585818,"Aayla Secura","AAYLASECURA","Light Side","Support",11,16945,7,85,"Galactic Republic","Jedi",NA,NA,NA,NA,NA
"lisalala",274949228,"Aayla Secura","AAYLASECURA","Light Side","Support",11,16104,7,85,"Galactic Republic","Jedi",NA,NA,NA,NA,NA
"RogueSparrow",261839383,"Aayla Secura","AAYLASECURA","Light Side","Support",6,11650,7,85,"Galactic Republic","Jedi",NA,NA,NA,NA,NA
"Smartinsk",867856267,"Aayla Secura","AAYLASECURA","Light Side","Support",6,2956,4,49,"Galactic Republic","Jedi",NA,NA,NA,NA,NA
"GrandmasterHardy",589629316,"Aayla Secura","AAYLASECURA","Light Side","Support",6,5248,4,85,"Galactic Republic","Jedi",NA,NA,NA,NA,NA
"Rac00n",911198655,"Aayla Secura","AAYLASECURA","Light Side","Support",11,17014,7,85,"Galactic Republic","Jedi",NA,NA,NA,NA,NA
"Code",853781739,"Admiral Ackbar","ADMIRALACKBAR","Light Side","Support",11,16174,7,85,"Fleet Commander","Rebel",NA,NA,NA,NA,NA
"btrie",962472279,"Admiral Ackbar","ADMIRALACKBAR","Light Side","Support",11,15838,7,85,"Fleet Commander","Rebel",NA,NA,NA,NA,NA
"Drewish",266161177,"Admiral Ackbar","ADMIRALACKBAR","Light Side","Support",11,15240,7,85,"Fleet Commander","Rebel",NA,NA,NA,NA,NA
"D'Artagnan",244782846,"Admiral Ackbar","ADMIRALACKBAR","Light Side","Support",11,16213,7,85,"Fleet Commander","Rebel",NA,NA,NA,NA,NA
"Peps",912783323,"Admiral Ackbar","ADMIRALACKBAR","Light Side","Support",11,16273,7,85,"Fleet Commander","Rebel",NA,NA,NA,NA,NA
"YimYames",663748144,"Admiral Ackbar","ADMIRALACKBAR","Light Side","Support",8,11470,7,79,"Fleet Commander","Rebel",NA,NA,NA,NA,NA
"Kelsier",866766384,"Admiral Ackbar","ADMIRALACKBAR","Light Side","Support",9,14233,7,85,"Fleet Commander","Rebel",NA,NA,NA,NA,NA
"Oberon",298518446,"Admiral Ackbar","ADMIRALACKBAR","Light Side","Support",11,15685,7,85,"Fleet Commander","Rebel",NA,NA,NA,NA,NA
"boogstien",569715162,"Admiral Ackbar","ADMIRALACKBAR","Light Side","Support",10,15663,7,85,"Fleet Commander","Rebel",NA,NA,NA,NA,NA
"doctorx",284629595,"Admiral Ackbar","ADMIRALACKBAR","Light Side","Support",9,13410,7,85,"Fleet Commander","Rebel",NA,NA,NA,NA,NA
"Tez",613277982,"Admiral Ackbar","ADMIRALACKBAR","Light Side","Support",11,16881,7,85,"Fleet Commander","Rebel",NA,NA,NA,NA,NA
"Sarith LeKit",145177637,"Admiral Ackbar","ADMIRALACKBAR","Light Side","Support",8,11956,7,85,"Fleet Commander","Rebel",NA,NA,NA,NA,NA
"Apathy",173129783,"Admiral Ackbar","ADMIRALACKBAR","Light Side","Support",9,13945,7,85,"Fleet Commander","Rebel",NA,NA,NA,NA,NA
"Adam",641878415,"Admiral Ackbar","ADMIRALACKBAR","Light Side","Support",12,17605,7,85,"Fleet Commander","Rebel",NA,NA,NA,NA,NA
"Mhann Uhdea",453922222,"Admiral Ackbar","ADMIRALACKBAR","Light Side","Support",10,14800,7,85,"Fleet Commander","Rebel",NA,NA,NA,NA,NA
"Kems",588232271,"Admiral Ackbar","ADMIRALACKBAR","Light Side","Support",10,15411,7,85,"Fleet Commander","Rebel",NA,NA,NA,NA,NA
"NostraDazmous",126741569,"Admiral Ackbar","ADMIRALACKBAR","Light Side","Support",11,15570,7,85,"Fleet Commander","Rebel",NA,NA,NA,NA,NA
"kallah",742876214,"Admiral Ackbar","ADMIRALACKBAR","Light Side","Support",9,13864,7,85,"Fleet Commander","Rebel",NA,NA,NA,NA,NA
"AsahiSuperdry",469719352,"Admiral Ackbar","ADMIRALACKBAR","Light Side","Support",9,14305,7,85,"Fleet Commander","Rebel",NA,NA,NA,NA,NA
"DarthHelmet",627172986,"Admiral Ackbar","ADMIRALACKBAR","Light Side","Support",8,12675,7,85,"Fleet Commander","Rebel",NA,NA,NA,NA,NA
"DJ Harr0w",693446368,"Admiral Ackbar","ADMIRALACKBAR","Light Side","Support",11,16830,7,85,"Fleet Commander","Rebel",NA,NA,NA,NA,NA
"Martyvu",414326312,"Admiral Ackbar","ADMIRALACKBAR","Light Side","Support",11,15885,7,85,"Fleet Commander","Rebel",NA,NA,NA,NA,NA
"Lexicon",755564748,"Admiral Ackbar","ADMIRALACKBAR","Light Side","Support",10,15844,7,85,"Fleet Commander","Rebel",NA,NA,NA,NA,NA
"Zordo",347361694,"Admiral Ackbar","ADMIRALACKBAR","Light Side","Support",11,16129,7,85,"Fleet Commander","Rebel",NA,NA,NA,NA,NA
"Cyrus Sophus",397523631,"Admiral Ackbar","ADMIRALACKBAR","Light Side","Support",11,16260,7,85,"Fleet Commander","Rebel",NA,NA,NA,NA,NA
"Rufuska",517585818,"Admiral Ackbar","ADMIRALACKBAR","Light Side","Support",11,15568,7,85,"Fleet Commander","Rebel",NA,NA,NA,NA,NA
"Wes Biriuk",625985749,"Admiral Ackbar","ADMIRALACKBAR","Light Side","Support",9,14215,7,85,"Fleet Commander","Rebel",NA,NA,NA,NA,NA
"lisalala",274949228,"Admiral Ackbar","ADMIRALACKBAR","Light Side","Support",9,13843,7,85,"Fleet Commander","Rebel",NA,NA,NA,NA,NA
"RogueSparrow",261839383,"Admiral Ackbar","ADMIRALACKBAR","Light Side","Support",11,15885,7,85,"Fleet Commander","Rebel",NA,NA,NA,NA,NA
"Bullet",647171153,"Admiral Ackbar","ADMIRALACKBAR","Light Side","Support",8,12828,7,85,"Fleet Commander","Rebel",NA,NA,NA,NA,NA
"Smartinsk",867856267,"Admiral Ackbar","ADMIRALACKBAR","Light Side","Support",11,15592,7,85,"Fleet Commander","Rebel",NA,NA,NA,NA,NA
"Scrubz",653454484,"Admiral Ackbar","ADMIRALACKBAR","Light Side","Support",10,15598,7,85,"Fleet Commander","Rebel",NA,NA,NA,NA,NA
"GrandmasterHardy",589629316,"Admiral Ackbar","ADMIRALACKBAR","Light Side","Support",11,15219,7,85,"Fleet Commander","Rebel",NA,NA,NA,NA,NA
"Rac00n",911198655,"Admiral Ackbar","ADMIRALACKBAR","Light Side","Support",10,15061,7,85,"Fleet Commander","Rebel",NA,NA,NA,NA,NA
"Blaine",163941995,"Admiral Ackbar","ADMIRALACKBAR","Light Side","Support",9,13743,7,85,"Fleet Commander","Rebel",NA,NA,NA,NA,NA
"Code",853781739,"Ahsoka Tano","AHSOKATANO","Light Side","Attacker",10,14832,7,85,"Galactic Republic","Jedi",NA,NA,NA,NA,NA
"btrie",962472279,"Ahsoka Tano","AHSOKATANO","Light Side","Attacker",10,14109,7,85,"Galactic Republic","Jedi",NA,NA,NA,NA,NA
"Drewish",266161177,"Ahsoka Tano","AHSOKATANO","Light Side","Attacker",10,14296,7,85,"Galactic Republic","Jedi",NA,NA,NA,NA,NA
"D'Artagnan",244782846,"Ahsoka Tano","AHSOKATANO","Light Side","Attacker",8,13327,7,85,"Galactic Republic","Jedi",NA,NA,NA,NA,NA
"Peps",912783323,"Ahsoka Tano","AHSOKATANO","Light Side","Attacker",10,13933,7,85,"Galactic Republic","Jedi",NA,NA,NA,NA,NA
"YimYames",663748144,"Ahsoka Tano","AHSOKATANO","Light Side","Attacker",10,13428,7,80,"Galactic Republic","Jedi",NA,NA,NA,NA,NA
"Kelsier",866766384,"Ahsoka Tano","AHSOKATANO","Light Side","Attacker",8,13327,7,85,"Galactic Republic","Jedi",NA,NA,NA,NA,NA
"Oberon",298518446,"Ahsoka Tano","AHSOKATANO","Light Side","Attacker",10,14799,7,85,"Galactic Republic","Jedi",NA,NA,NA,NA,NA
"boogstien",569715162,"Ahsoka Tano","AHSOKATANO","Light Side","Attacker",8,11317,7,75,"Galactic Republic","Jedi",NA,NA,NA,NA,NA
"doctorx",284629595,"Ahsoka Tano","AHSOKATANO","Light Side","Attacker",7,11416,7,85,"Galactic Republic","Jedi",NA,NA,NA,NA,NA
"Tez",613277982,"Ahsoka Tano","AHSOKATANO","Light Side","Attacker",8,13120,7,85,"Galactic Republic","Jedi",NA,NA,NA,NA,NA
