"base_id"	"name"	"type"	"gear_level"	"power"	"level"	"url"	"combat_type"	"stars"	"player"	"Alignment"	"Role"	"Affiliation_1"	"Affiliation_2"	"Affiliation_3"	"Affiliation_4"	"zeta_1"	"zeta_2"	"zeta_3"
"1"	"AAYLASECURA"	"Aayla Secura"	"characters"	1	676	1	"/u/oberon%20calad/collection/"	1	3	"Oberon"	"Light Side"	"Support"	"Galactic Republic"	"Jedi"	NA	NA	NA	NA	NA
"2"	"AAYLASECURA"	"Aayla Secura"	"characters"	1	676	1	"/u/zordo/collection/"	1	3	"Zordo"	"Light Side"	"Support"	"Galactic Republic"	"Jedi"	NA	NA	NA	NA	NA
"3"	"AAYLASECURA"	"Aayla Secura"	"characters"	1	676	1	"/u/boogstien/collection/"	1	3	"boogstien"	"Light Side"	"Support"	"Galactic Republic"	"Jedi"	NA	NA	NA	NA	NA
"4"	"AAYLASECURA"	"Aayla Secura"	"characters"	3	1002	12	"/u/kallah/collection/"	1	3	"kallah"	"Light Side"	"Support"	"Galactic Republic"	"Jedi"	NA	NA	NA	NA	NA
"5"	"AAYLASECURA"	"Aayla Secura"	"characters"	6	2938	46	"/u/kems/collection/"	1	3	"Kems"	"Light Side"	"Support"	"Galactic Republic"	"Jedi"	NA	NA	NA	NA	NA
"6"	"AAYLASECURA"	"Aayla Secura"	"characters"	1	1014	1	"/u/yimyames/collection/"	1	4	"YimYames"	"Light Side"	"Support"	"Galactic Republic"	"Jedi"	NA	NA	NA	NA	NA
"7"	"AAYLASECURA"	"Aayla Secura"	"characters"	3	1879	30	"/u/hbktez/collection/"	1	4	"Tez"	"Light Side"	"Support"	"Galactic Republic"	"Jedi"	NA	NA	NA	NA	NA
"8"	"AAYLASECURA"	"Aayla Secura"	"characters"	6	2956	49	"/u/lomidrevo/collection/"	1	4	"Smartinsk"	"Light Side"	"Support"	"Galactic Republic"	"Jedi"	NA	NA	NA	NA	NA
"9"	"AAYLASECURA"	"Aayla Secura"	"characters"	6	3159	51	"/u/nostradazmous/collection/"	1	4	"NostraDazmous"	"Light Side"	"Support"	"Galactic Republic"	"Jedi"	NA	NA	NA	NA	NA
"10"	"AAYLASECURA"	"Aayla Secura"	"characters"	6	5248	85	"/u/grandmasterhardy/collection/"	1	4	"GrandmasterHardy"	"Light Side"	"Support"	"Galactic Republic"	"Jedi"	NA	NA	NA	NA	NA
